feature,beta_f,beta_a,beta_g,pvalue_f,pvalue_a,pvalue_g,Contrast_name,Labels
Cingulum_Post_R,0.02152689597597053,0.0030641792204394057,-0.14527381629107042,0.879975740145252,0.7755413676200168,0.5552116073172835,nBack_con_0002,23
Hippocampus_L,-0.1712914406217404,0.0033000028858105063,-0.15091799282093377,0.2345552901597624,0.7588181728337249,0.5401235861878979,nBack_con_0002,23
Hippocampus_R,-0.15848203383208362,0.0028072880839662257,-0.14051062354161586,0.27226722845713547,0.793786836025354,0.5681753510378994,nBack_con_0002,23
ParaHippocampal_L,-0.0490258546240615,0.0028255675624415996,-0.14027381348226475,0.7305905334644405,0.7920452436129004,0.567976512789529,nBack_con_0002,23
ParaHippocampal_R,-0.11634367809148377,0.002534088225805705,-0.13438245636088098,0.41715200596169677,0.8134259363144404,0.5849657052874359,nBack_con_0002,23
Amygdala_L,-0.11779248700164699,0.0031769544874536452,-0.1479568164894839,0.41202338562594343,0.7671398017325056,0.5473697883845311,nBack_con_0002,23
Amygdala_R,0.015875040734475314,0.0029215998216682434,-0.14225647185914964,0.9110291126270774,0.7850218775201588,0.5623190707812102,nBack_con_0002,23
Calcarine_L,-0.14092555966507292,0.002809761609148643,-0.14031695902687494,0.32619224514632505,0.7934300853693496,0.5682825998829675,nBack_con_0002,23
Calcarine_R,-0.1398149459287027,0.0031106985669850313,-0.1467065573162677,0.33122241160943033,0.7719519951996511,0.5509106286466732,nBack_con_0002,23
Cuneus_L,-0.08449144656133495,0.002690865294937862,-0.13751072575478523,0.5534109229047567,0.8018824247045708,0.5758419151357808,nBack_con_0002,23
Cuneus_R,0.027651154515753236,0.00299990165257926,-0.1439226806598028,0.8457425629520243,0.7795385734961224,0.5579800943541094,nBack_con_0002,23
Lingual_L,-0.0196813897942425,0.0029819627389968263,-0.14353351309319162,0.8899144769259404,0.7808050758549201,0.5589908498617155,nBack_con_0002,23
Lingual_R,-0.03468132004462505,0.0030478840732525415,-0.1449402256713304,0.8075250055008711,0.7761852410507566,0.5552879506056607,nBack_con_0002,23
Occipital_Sup_L,0.07971100537020209,0.0027888762373809075,-0.13958095055883502,0.5759520534555045,0.7948466782531648,0.5702395245098366,nBack_con_0002,23
Occipital_Sup_R,0.24507094045113792,0.002234624945422231,-0.12882533268396634,0.09390176467300722,0.8360364377586502,0.6028157659769683,nBack_con_0002,23
Occipital_Mid_L,0.32640963001462936,0.0020129903023338534,-0.12501276913680026,0.027114885816932693,0.8531029054134418,0.616147965684359,nBack_con_0002,23
Occipital_Mid_R,0.1453590079413403,0.002195317871846151,-0.1273332690708109,0.3124978406988299,0.838341849918665,0.6056332619414302,nBack_con_0002,23
Occipital_Inf_L,0.2595691403784886,0.0018429880014691432,-0.12095862076931145,0.07507675332945042,0.8647952085676486,0.6258481792731494,nBack_con_0002,23
Occipital_Inf_R,0.23945908636658814,0.002192022568830344,-0.1280424906315934,0.0988104234252106,0.8390244139198408,0.6047427418866077,nBack_con_0002,23
Fusiform_L,-0.005561918936707308,0.0029501475758123416,-0.14285478167220184,0.9688016361698861,0.7831652682726813,0.56097535268231,nBack_con_0002,23
Fusiform_R,-0.013919960766331957,0.003006596087365825,-0.1440499371842697,0.9221654145326066,0.7794628321087489,0.5582337485306229,nBack_con_0002,23
Postcentral_L,0.3582122001755926,0.0025966952795592893,-0.13761369113567612,0.017871349728623802,0.8117806403300406,0.5819207846371053,nBack_con_0002,23
Postcentral_R,0.2811551692147791,0.002901774489817854,-0.14319150251917054,0.05813876018646968,0.7888968965750767,0.5643816832442659,nBack_con_0002,23
Parietal_Sup_L,-0.044513615244970314,0.0031563288443328475,-0.1472472409639399,0.7548505982324125,0.768746950329009,0.5494884587316459,nBack_con_0002,23
Parietal_Sup_R,0.15776665961195785,0.0021712331367770028,-0.12682174316159806,0.2726156739870612,0.840245520042284,0.6073746684709659,nBack_con_0002,23
Parietal_Inf_L,0.0034492630671818687,0.0029291557363043154,-0.1424118368733301,0.9806273877777265,0.7844788286212124,0.5618930539466446,nBack_con_0002,23
Parietal_Inf_R,0.16190149426734202,0.0025041888541430203,-0.13377122840727726,0.26265421345798545,0.8159355307731362,0.5874671295565613,nBack_con_0002,23
